,ew_base,ew_crypto,mv_sample_base,mv_sample_crypto,mv_shrink_base,mv_shrink_crypto,rp_sample_base,rp_sample_crypto,rp_shrink_base,rp_shrink_crypto,aw_base,aw_crypto,hybrid_base,hybrid_crypto,hybrid_loose_base,hybrid_loose_crypto,hybrid_unconstrained_base,hybrid_unconstrained_crypto,hybrid_ruonia_capped_base,hybrid_ruonia_capped_crypto
CAGR,0.09048746262494987,0.30039212286163064,0.07720701359278291,0.07736682473817265,0.052901488012208765,0.06607574947488279,0.07664528049762646,0.0673963146849785,0.06957845863219156,0.11015706494410472,0.07160596119580079,0.1389048011726229,0.07569448693218316,0.10328732637582352,0.07743876904487451,0.08177740444515097,0.07664528049762646,0.0673963146849785,0.06902187372422992,0.11089745741508633
Volatility,0.09291277303031847,0.26100999752431137,0.005729832231635825,0.005732018823723038,0.04524374146344873,0.05271972358098685,0.07303213369784028,0.10857187866856258,0.06616196604839321,0.10418361897712423,0.10405703165891159,0.13220795472787097,0.0853425389671913,0.1156785223643142,0.08008278222457842,0.11011298955516875,0.07303213369784028,0.10857187866856259,0.09828451826489544,0.12270438062824301
Sharpe,0.9800728665852482,1.1394782630029985,12.99185358786935,13.01281706794573,1.1625901389597812,1.241025263711864,1.0485453363838428,0.6559436496252348,1.0505994807976535,1.0564563299130654,0.71822297030695,1.0519214406788315,0.8985771959595686,0.908939030323568,0.9722100381573187,0.7700102352495471,1.0485453363838428,0.6559436496252344,0.7294303968249556,0.919948455944509
Sortino,1.4217781303918662,2.0219172413061375,inf,inf,1.7329427952477419,1.7508272072504816,1.5239670810349737,0.9540991080287541,1.530470818769215,1.6093409370627552,0.9833904490759042,1.6155006851545792,1.3057068981609532,1.3673908904425034,1.4553428604939846,1.1356387771635237,1.5239670810349737,0.9540991080287538,1.0217241878945988,1.3937670549039258
MaxDrawdown,-0.24739061724225764,-0.5008418894340856,0.0,0.0,-0.13637413314917235,-0.14483379518696582,-0.21287750822495832,-0.3714413379369028,-0.19715273643009312,-0.34510271567956896,-0.2600652866988238,-0.32881565150028136,-0.23158879885086225,-0.3502719130877916,-0.21740310519729533,-0.36300888795835284,-0.21287750822495832,-0.3714413379369029,-0.2750890251754514,-0.35027191308779204
CVaR_5%,-0.03317841531972393,-0.07509005808095598,0.00043886713608692646,0.000438491277009467,-0.015715293217158612,-0.017028881177057687,-0.026294579874820992,-0.037479532050584886,-0.023695937638033793,-0.03656915758918078,-0.03727153940294297,-0.04297121819367795,-0.03071212189765601,-0.03913554459559479,-0.028563993075864394,-0.037878554029765615,-0.026294579874820992,-0.037479532050584886,-0.035588813223804264,-0.04108195791511477
DiversificationRatio,1.5884294825587117,1.2892267310961019,1.2861628504123719,1.3332767360151203,1.727438624859862,1.8249105411172655,1.7580259570318635,1.76163936970695,1.9489288502196187,1.9777000222811911,1.514284150552446,1.6151983923515003,1.5808844009248817,1.6614894040162567,1.6396582703463436,1.7027784810085396,1.7580259570318635,1.76163936970695,1.5712598962109947,1.6582870102980434
Skewness,-1.7343594077452074,-0.2406839040081389,0.5687475241418753,0.5633882837708215,-1.163366316207129,-2.670084263180224,-0.9843897940172328,-1.309741722161353,-1.5881784251240842,-1.0496425442701545,-2.5137994702867,-1.3037879294373174,-1.42593149151357,-1.2890978306576997,-0.9495726438772715,-1.3123911031877908,-0.9843897940172328,-1.3097417221613528,-2.0336307050496583,-1.2666758643095457
Kurtosis,9.722920452619508,2.7863056969149484,-1.0818770851393769,-1.0907549157557512,12.059952086352665,23.447327696756076,15.018813449842751,9.86307962741121,10.234769674951515,6.051307997561221,17.445518491147062,6.947846716396375,9.005558675038893,7.344525573681617,9.099598069429199,8.944529634446178,15.018813449842751,9.863079627411206,13.227662389977963,6.715638623359853
