,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,DiversificationRatio,Skewness,Kurtosis
ew_base,-0.01359,0.13639,-0.0313,-0.04148,-0.23644,-0.05591,,-1.66955,5.68724
ew_crypto,0.15567,0.33443,0.60233,0.94734,-0.46509,-0.10987,,-0.68603,2.12567
mv_sample_base,0.05077,0.00371,13.35501,inf,0.0,0.00038,,1.83438,3.55862
mv_sample_crypto,0.05089,0.00371,13.36906,inf,0.0,0.00039,,1.8542,3.6649
mv_shrink_base,-0.01701,0.06979,-0.211,-0.29087,-0.13156,-0.02759,,-0.85967,5.65496
mv_shrink_crypto,0.00165,0.08832,0.06311,0.08346,-0.13884,-0.03646,,-2.01333,9.96616
rp_sample_base,-0.03292,0.11739,-0.22644,-0.31437,-0.21288,-0.0461,,-0.66437,5.82018
rp_sample_crypto,-0.10411,0.16174,-0.59724,-0.79451,-0.35262,-0.06477,,-1.19768,4.98306
rp_shrink_base,-0.01845,0.09982,-0.13644,-0.18327,-0.19076,-0.0405,,-1.35335,5.13816
rp_shrink_crypto,-0.03531,0.15788,-0.1483,-0.2058,-0.32856,-0.06041,,-0.95494,2.04356
aw_base,-0.03009,0.15564,-0.11628,-0.14544,-0.24029,-0.06688,,-2.44602,10.60747
aw_crypto,0.02973,0.19059,0.25062,0.34461,-0.30398,-0.0763,,-1.49162,4.30516
hybrid_base,-0.01299,0.1281,-0.03759,-0.05047,-0.22508,-0.0519,,-1.31804,4.49648
hybrid_crypto,-0.03825,0.16972,-0.14386,-0.19515,-0.32854,-0.06862,,-1.3107,3.86867
hybrid_loose_base,-0.01299,0.1281,-0.03759,-0.05047,-0.22508,-0.0519,,-1.31804,4.49648
hybrid_loose_crypto,-0.03825,0.16972,-0.14386,-0.19515,-0.32854,-0.06862,,-1.3107,3.86867
hybrid_unconstrained_base,-0.01299,0.1281,-0.03759,-0.05047,-0.22508,-0.0519,,-1.31804,4.49648
hybrid_unconstrained_crypto,-0.03825,0.16972,-0.14386,-0.19515,-0.32854,-0.06862,,-1.3107,3.86867
hybrid_ruonia_capped_base,-0.03575,0.14731,-0.17208,-0.22147,-0.26017,-0.06229,,-1.92019,7.49704
hybrid_ruonia_capped_crypto,-0.02056,0.17914,-0.02522,-0.03441,-0.32854,-0.07263,,-1.3327,3.654
