strategy,mean_ruonia_weight,median_ruonia_weight,max_ruonia_weight,share_dates_ruonia_gt_25,share_dates_ruonia_gt_50,ruonia_cap_25_bind_share
aw_base,0.15,0.15,0.15,0.0,0.0,
aw_crypto,0.1,0.1,0.1,0.0,0.0,
ew_base,0.25,0.25,0.25,0.0,0.0,
ew_crypto,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,
hybrid_base,0.29081483761197563,0.4530051499499324,0.5230775548436837,0.5185185185185185,0.37037037037037035,
hybrid_crypto,0.15632428307168564,0.050000000000000044,0.49347451336276626,0.25925925925925924,0.0,
hybrid_loose_base,0.375303740179161,0.6348082399198919,0.746924087749894,0.5185185185185185,0.5185185185185185,
hybrid_loose_crypto,0.190118852914697,0.020000000000000073,0.729559221380426,0.25925925925925924,0.25925925925925924,
hybrid_ruonia_capped_base,0.16574074074074083,0.25,0.25000000000000006,0.0,0.0,0.5185185185185185
hybrid_ruonia_capped_crypto,0.10185185185185236,0.050000000000000044,0.25000000000000006,0.0,0.0,0.25925925925925924
hybrid_unconstrained_base,0.5948268780913977,0.852523682550401,0.9016170074008782,0.7037037037037037,0.7037037037037037,
hybrid_unconstrained_crypto,0.21264855892793533,0.0,0.8869489460916754,0.25925925925925924,0.25925925925925924,
mv_sample_base,0.9964059190826584,0.996218148793552,0.9993791719518755,1.0,1.0,
mv_sample_crypto,0.9965633402835878,0.9961719082865959,0.9996923734280873,1.0,1.0,
mv_shrink_base,0.6091952592019829,0.6134391655958833,0.8167656383931653,1.0,0.7407407407407407,
mv_shrink_crypto,0.5241320336254598,0.5656602587917428,0.6838135572858337,1.0,0.5555555555555556,
rp_sample_base,0.5948268780913976,0.852523682550401,0.9016170074008782,0.7037037037037037,0.7037037037037037,
rp_sample_crypto,0.21264855892793533,0.0,0.8869489460916754,0.25925925925925924,0.25925925925925924,
rp_shrink_base,0.4427247465812889,0.4429771292102182,0.5795114957174113,1.0,0.25925925925925924,
rp_shrink_crypto,0.2991633635915933,0.34586107506548147,0.46066076501627673,0.7777777777777778,0.0,
