family,base,crypto,delta_CAGR,delta_Volatility,delta_Sharpe,delta_Sortino,delta_CVaR_5%,delta_MaxDrawdown,delta_DiversificationRatioMean,delta_DiversificationRatioMedian
ew,ew_base,ew_crypto,0.20989999999999998,0.16810000000000003,0.15941000000000005,0.6001400000000001,-0.04191,-0.25344999999999995,-0.2991999999999999,-0.2702
mv_sample,mv_sample_base,mv_sample_crypto,0.00015999999999999348,0.0,0.020970000000000155,,0.0,0.0,0.04712000000000005,0.016800000000000148
mv_shrink,mv_shrink_base,mv_shrink_crypto,0.013179999999999997,0.0074800000000000005,0.07844000000000007,0.017890000000000184,-0.0013099999999999987,-0.008459999999999995,0.09746999999999995,0.030460000000000154
rp_sample,rp_sample_base,rp_sample_crypto,-0.009249999999999994,0.03554,-0.3926100000000001,-0.5698700000000001,-0.011189999999999999,-0.15855999999999998,0.003610000000000113,0.0367900000000001
rp_shrink,rp_shrink_base,rp_shrink_crypto,0.04057999999999999,0.03802,0.005859999999999976,0.07887,-0.01287,-0.14795000000000003,0.028769999999999962,0.06533999999999995
aw,aw_base,aw_crypto,0.06729,0.028149999999999994,0.3337,0.63211,-0.005700000000000004,-0.06874999999999998,0.1009199999999999,0.18064000000000013
hybrid,hybrid_base,hybrid_crypto,0.027600000000000013,0.030340000000000006,0.010359999999999925,0.06168000000000018,-0.00843,-0.11868000000000004,0.08060999999999985,0.14050000000000007
hybrid_loose,hybrid_loose_base,hybrid_loose_crypto,0.0043400000000000105,0.03003,-0.20220000000000005,-0.3197000000000001,-0.009319999999999998,-0.14561,0.06312000000000006,0.10358999999999985
hybrid_unconstrained,hybrid_unconstrained_base,hybrid_unconstrained_crypto,-0.009249999999999994,0.03554,-0.3926100000000001,-0.5698700000000001,-0.011189999999999999,-0.15855999999999998,0.003610000000000113,0.0367900000000001
hybrid_ruonia_capped,hybrid_ruonia_capped_base,hybrid_ruonia_capped_crypto,0.04188,0.024419999999999997,0.19052000000000002,0.37205,-0.005490000000000002,-0.07518000000000002,0.08702999999999994,0.14332999999999996
